1,أَذْكَارُ الاسْـتِيقَاظِ مِنَ النَّـومِ,أذكار الاستيقاظ من النوم,1,0
2,دُعَـاءُ لُبْسِ الثَّـــوْبِ,دعاء لبس الثوب,0,0
3,دُعَـاءُ لُبْسِ الثَّوْبِ الجَــدِيدِ,دعاء لبس الثوب الجديد,0,0
4,الدُّعَاءُ لِمَنْ لَبِسَ ثـَوْباً جَـدِيداً,الدعاء لمن لبس ثوبا جديدا,0,0
5,مَا يَقُــولُ إِذَا وَضَــعَ ثـــَـوْبَهُ,ما يقول إذا وضع ثوبه,0,0
6,دُعَـاءُ دُخُـولِ الْخَــلاءِ,دعاء دخول الخلاء,0,0
7,دُعَاءُ الْخُـرُوجِ مِنَ الْخَـلاَءِ,دعاء الخروج من الخلاء,0,0
8,الذِّكْرُ قَبْـلَ الْوُضُـوءِ,الذكر قبل الوضوء,0,0
9,الذِّكْرُ بَعْدَ الْفَــرَاغِ مِنَ الْوُضُوءِ,الذكر بعد الفراغ من الوضوء,0,0
10,الذِّكْرُ عِنْدَ الْخُرُوجِ مِنَ الْمَنْزِلِ,الذكر عند الخروج من المنزل,1,0
11,الذِّكْرُ عِنْـدَ دُخُـولِ الـمَنْــزِلِ,الذكر عند دخول المنزل,1,0
12,دُعَــاءُ الذَّهَابِ إِلَى الْـمَسْــجِدِ,دعاء الذهاب إلى المسجد,0,0
13,دُعَاءُ دُخُولِ المَسْجِدِ,دعاء دخول المسجد,0,0
14,دُعَاءُ الْخُرُوجِ مِنَ الْـمَسْـجِدِ,دعاء الخروج من المسجد,0,0
15,أَذكَارُ الأَذَانِ,أذكار الأذان,0,0
16,دُعَـاءُ الاسْـتِفْتَاحِ,دعاء الاستفتاح,0,0
17,دُعَــاءُ الرُّكُــوعِ,دعاء الركوع,0,0
18,دُعَـاءُ الرَّفْــعِ مِنَ الرُّكُــوعِ,دعاء الرفع من الركوع,0,0
19,دُعَــاءُ السُّــجُودِ,دعاء السجود,0,0
20,دُعَــاءُ الْجلْسَةِ بَيْنَ السَّجْدَتَيْنِ,دعاء الجلسة بين السجدتين,0,0
21,دُعَــاءُ سُـجُودِ التِّـلاَوَةِ,دعاء سجود التلاوة,0,0
22,التَّشَـــهُّدُ,التشهد,0,0
